true_label,predicted_label
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Dendritic cells
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Erythroblasts
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Collisions
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Erythroblasts
Hematopoietic progenitors,Hematopoietic progenitors
Hematopoietic progenitors,Hematopoietic progenitors
