true_label,predicted_label
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Oligodendrocytes,Oligodendrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Endothelial Cells,Endothelial Cells
Inhibitory Neurons,Inhibitory Neurons
Astrocytes,Astrocytes
Astrocytes,Astrocytes
Endothelial Cells,Endothelial Cells
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Microglia,Oligodendrocytes
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Oligodendrocytes,Oligodendrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Excitatory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Endothelial Cells,Endothelial Cells
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Astrocytes
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Endothelial Cells,Endothelial Cells
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Inhibitory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Oligodendrocytes,Oligodendrocytes
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Oligodendrocytes,Oligodendrocytes
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Inhibitory Neurons,Inhibitory Neurons
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Astrocytes,Astrocytes
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Endothelial Cells,Endothelial Cells
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Inhibitory Neurons,Inhibitory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
Microglia,Microglia
Excitatory Neurons,Excitatory Neurons
Microglia,Microglia
